Abrahám;Galanta;Trnavský kraj;48.248383;17.618816
Adidovce;Humenné;Prešovský kraj;48.93707;21.91625
Abrahámovce;Kežmarok;Prešovský kraj;49.04429;20.438589
Ábelová;Lučenec;Banskobystrický kraj;48.41157;19.432821
Alekšince;Nitra;Nitriansky kraj;48.366408;17.947902
Andovce;Nové Zámky;Nitriansky kraj;47.996112;18.098473
Abranovce;Prešov;Prešovský kraj;48.93176;21.345276
Abovce;Rimavská Sobota;Banskobystrický kraj;48.318691;20.336469
Ardovo;Rožňava;Košický kraj;48.531986;20.415091
Arnutovce;Spišská Nová Ves;Košický kraj;48.97892;20.494647
Abrahámovce;Bardejov;Prešovský kraj;49.161686;21.344045
Ardanovce;Topoľčany;Nitriansky kraj;48.56362;18.16712
Andrejová;Bardejov;Prešovský kraj;49.335927;21.333597
Adamovské Kochanovce;Trenčín;Trenčiansky kraj;48.89452;18.04436
Abramová;Turčianske Teplice;Žilinský kraj;48.93601;18.795579
Babie;Vranov nad Topľou;Prešovský kraj;48.88836;21.68479
Babiná;Zvolen;Banskobystrický kraj;48.435202;19.091056
Babindol;Nitra;Nitriansky kraj;48.289183;18.238085
Babinec;Rimavská Sobota;Banskobystrický kraj;48.512224;20.004852
Babín;Námestovo;Žilinský kraj;49.330753;19.380681
Bacúch;Brezno;Banskobystrický kraj;48.85;19.833333
Bacúrov;Zvolen;Banskobystrický kraj;48.519648;19.059842
Bačka;Trebišov;Košický kraj;48.62858;21.71954
Bačkov;Trebišov;Košický kraj;48.739908;21.62321
Bačkovík;Košice-okolie;Košický kraj;48.782823;21.43158
Badín;Banská Bystrica;Banskobystrický kraj;48.269863;19.067309
Baďan;Banská Štiavnica;Banskobystrický kraj;48.44858;18.91003
Bajany;Michalovce;Košický kraj;48.75434;21.9195
Bajč;Komárno;Nitriansky kraj;47.923323;18.208867
Bajerov;Prešov;Prešovský kraj;48.953661;21.117044
Bajerovce;Sabinov;Prešovský kraj;49.10308;21.0988
Bajka;Levice;Nitriansky kraj;48.150643;18.51795
Bajtava;Nové Zámky;Nitriansky kraj;47.855915;18.749363
Baka;Dunajská Streda;Trnavský kraj;47.907597;17.521748
Baláže;Banská Bystrica;Banskobystrický kraj;48.815827;19.195478
Baldovce;Levoča;Prešovský kraj;49.02173;20.59212
Balog nad Ipľom;Veľký Krtíš;Banskobystrický kraj;48.21058;19.35043
Baloň;Dunajská Streda;Trnavský kraj;47.825858;17.677854
Banka;Piešťany;Trnavský kraj;48.585497;17.855405
Banská Belá;Banská Štiavnica;Banskobystrický kraj;48.474658;18.933668
Banská Bystrica;Banská Bystrica;Banskobystrický kraj;48.739464;19.153489
Banská Štiavnica;Banská Štiavnica;Banskobystrický kraj;48.44858;18.910028
Banské;Vranov nad Topľou;Prešovský kraj;48.82985;21.575813
Banský Studenec;Banská Štiavnica;Banskobystrický kraj;48.448915;18.96694
Baňa;Stropkov;Prešovský kraj;49.21442;21.594724
Bara;Trebišov;Košický kraj;48.425643;21.716083
Barca;Rimavská Sobota;Banskobystrický kraj;48.37451;20.230347
Bardejov;Bardejov;Prešovský kraj;49.283333;21.283333
Bardoňovo;Nové Zámky;Nitriansky kraj;47.98333;18.16667
Bartošova Lehôtka;Žiar nad Hronom;Banskobystrický kraj;48.653;18.917909
Bartošovce;Bardejov;Prešovský kraj;49.195358;21.276958
Baška;Košice-okolie;Košický kraj;48.707342;21.181625
Baškovce;Humenné;Prešovský kraj;48.93707;21.91625
Baškovce;Sobrance;Košický kraj;48.785218;22.205346
Bašovce;Piešťany;Trnavský kraj;48.633592;17.796499
Batizovce;Poprad;Prešovský kraj;49.074721;20.181395
Báb;Nitra;Nitriansky kraj;48.309946;17.866646
Báč;Dunajská Streda;Trnavský kraj;47.99268;17.61211
Bádice;Nitra;Nitriansky kraj;48.399044;18.125544
Báhoň;Pezinok;Bratislavský kraj;48.309437;17.44519
Bánov;Nové Zámky;Nitriansky kraj;47.98333;18.16667
Bánovce nad Bebravou;Bánovce nad Bebravou;Trenčiansky kraj;48.7213;18.257539
Bánovce nad Ondavou;Michalovce;Košický kraj;48.683161;21.812406
Bátka;Rimavská Sobota;Banskobystrický kraj;48.378838;20.169953
Bátorová;Veľký Krtíš;Banskobystrický kraj;48.134416;19.271439
Bátorove Kosihy;Komárno;Nitriansky kraj;47.829397;18.420164
Bátovce;Levice;Nitriansky kraj;48.290837;18.745676
Beckov;Nové Mesto nad Váhom;Trenčiansky kraj;48.792192;17.893193
Beharovce;Levoča;Prešovský kraj;49.003897;20.813059
Becherov;Bardejov;Prešovský kraj;49.41968;21.313087
Belá;Nové Zámky;Nitriansky kraj;47.832274;18.598846
Belá;Žilina;Žilinský kraj;49.23374;18.945761
Belá-Dulice;Martin;Žilinský kraj;49.06651;18.92399
Belá nad Cirochou;Snina;Prešovský kraj;48.974955;22.107585
Beladice;Zlaté Moravce;Nitriansky kraj;48.344083;18.289881
Belejovce;Svidník;Prešovský kraj;49.373932;21.542884
Belín;Rimavská Sobota;Banskobystrický kraj;48.341571;20.108514
Belina;Lučenec;Banskobystrický kraj;48.242528;19.851331
Belince;Topoľčany;Nitriansky kraj;48.459732;18.10128
Bellova Ves;Dunajská Streda;Trnavský kraj;47.99268;17.61211
Beloveža;Bardejov;Prešovský kraj;49.296001;21.368298
Beluj;Banská Štiavnica;Banskobystrický kraj;48.350094;18.896161
Beluša;Púchov;Trenčiansky kraj;48.83333;18.25
Belža;Košice-okolie;Košický kraj;48.579326;21.271339
Beniakovce;Košice-okolie;Košický kraj;48.768153;21.316246
Benice;Martin;Žilinský kraj;49.06651;18.92399
Benkovce;Vranov nad Topľou;Prešovský kraj;48.95091;21.709547
Beňadiková;Liptovský Mikuláš;Žilinský kraj;49.075635;19.680481
Beňadikovce;Svidník;Prešovský kraj;49.231094;21.547527
Beňadovo;Námestovo;Žilinský kraj;49.431953;19.342263
Beňatina;Sobrance;Košický kraj;48.808836;22.32639
Beňuš;Brezno;Banskobystrický kraj;48.828773;19.761602
